season_id,pitcher_id,pitch_hand,pitch_type,arm_angle,horiz_movement,vert_movement
2024,434378,R,CH,54.7,13.434375,9.69625
2024,434378,R,CU,54.7,-7.230346820809249,-13.434393063583816
2024,434378,R,FF,54.7,8.617861799217732,19.285006518904822
2024,434378,R,SL,54.7,-4,5.913114754098361
2024,445276,R,FC,61.8,-5.986646884272997,17.459495548961424
2024,445276,R,SI,61.8,5.529230769230769,19.743076923076924
2024,445926,R,CH,21.6,16.029285714285713,2.215
2024,445926,R,CU,21.6,-15.78082191780822,-8.304109589041095
2024,445926,R,FC,21.6,1.8688555347091933,12.507317073170732
2024,445926,R,SI,21.6,15.923131672597865,7.608540925266904
2024,450203,R,CH,20.8,17.179804560260585,0.17459283387622151
2024,450203,R,CU,20.8,-13.651732882502113,-8.861538461538462
2024,450203,R,FC,20.8,-0.01643835616438357,5.720091324200913
2024,450203,R,FF,20.8,13.566290726817043,10.510651629072681
2024,450203,R,SI,20.8,17.253521126760564,3.5848591549295774
2024,453286,R,CH,29.2,13.67741935483871,0.9935483870967742
2024,453286,R,CU,29.2,-13.761290322580646,-8.679569892473118
2024,453286,R,FF,29.2,10.100340136054422,15.926190476190476
2024,453286,R,SL,29.2,-4.383892617449664,3.940268456375839
2024,455119,R,FC,40.6,-1.8645484949832776,9.398327759197324
2024,455119,R,FF,40.6,9.227941176470589,15.520098039215686
2024,455119,R,SI,40.6,14.937096774193549,10.64516129032258
2024,456501,R,SI,32.6,16.786666666666665,8.386666666666667
2024,458677,L,FC,48.4,-1.7897435897435898,12.49948717948718
2024,458677,L,FF,48.4,6.592345679012346,17.618271604938272
2024,458677,L,SL,48.4,-2.8830917874396134,1.9971014492753625
2024,458681,R,CH,31.9,13.85,7.1265625
2024,458681,R,CU,31.9,-6.7448818897637794,-8.484251968503937
2024,458681,R,FC,31.9,-1.7376651982378855,5.5817180616740085
2024,458681,R,FF,31.9,4.12396265560166,13.083195020746889
2024,458681,R,SI,31.9,12.796176470588236,8.285294117647059
2024,471911,R,CH,35.8,6.984223918575064,2.33587786259542
2024,471911,R,CU,35.8,-11.072649572649572,-8.273504273504274
2024,471911,R,FF,35.8,3.269158878504673,10.711682242990655
2024,471911,R,SI,35.8,13.42249134948097,5.780622837370243
2024,471911,R,SL,35.8,-4.202669902912621,0.004126213592232933
2024,471911,R,ST,35.8,-12.172222222222222,3.5925925925925926
2024,472610,R,SI,48.2,13.862264150943396,10.99727463312369
2024,472610,R,SL,48.2,-7.878448275862069,-0.12241379310344827
2024,472610,R,ST,48.2,-13.397260273972602,3.349315068493151
